122,Bikes,Mountain Bikes,Mountain-200 Black- 46,1373454,620,620,2215.24838709677,1,22,22,35,29356250,4.67857440919736,4.68,Top 80%
121,Bikes,Mountain Bikes,Mountain-200 Black- 42,1363128,614,614,2220.07817589577,2,23,23,34,29356250,4.64339961677667,9.32,Top 80%
123,Bikes,Mountain Bikes,Mountain-200 Silver- 38,1339394,596,596,2247.30536912752,3,24,24,30,29356250,4.56255141579732,13.88,Top 80%
125,Bikes,Mountain Bikes,Mountain-200 Silver- 46,1301029,580,580,2243.15344827586,4,26,26,32,29356250,4.43186374281456,18.32,Top 80%
120,Bikes,Mountain Bikes,Mountain-200 Black- 38,1294854,582,582,2224.83505154639,5,25,25,33,29356250,4.41082903981265,22.73,Top 80%
124,Bikes,Mountain Bikes,Mountain-200 Silver- 42,1257368,560,560,2245.3,6,27,27,31,29356250,4.28313561847988,27.01,Top 80%
17,Bikes,Road Bikes,Road-150 Red- 48,1205786,337,337,3578,7,44,44,1,29356250,4.10742516499894,31.12,Top 80%
20,Bikes,Road Bikes,Road-150 Red- 62,1202208,336,336,3578,8,45,45,1,29356250,4.09523695976155,35.21,Top 80%
18,Bikes,Road Bikes,Road-150 Red- 52,1080556,302,302,3578,9,52,52,1,29356250,3.68083798169044,38.89,Top 80%
19,Bikes,Road Bikes,Road-150 Red- 56,1055510,295,295,3578,10,55,55,1,29356250,3.59552054502874,42.49,Top 80%
16,Bikes,Road Bikes,Road-150 Red- 44,1005418,281,281,3578,11,57,57,1,29356250,3.42488567170534,45.91,Top 80%
141,Bikes,Road Bikes,Road-250 Black- 52,734425,319,319,2302.27272727273,12,48,48,28,29356250,2.50176708537364,48.42,Top 80%
143,Bikes,Road Bikes,Road-250 Red- 58,702666,306,306,2296.29411764706,13,49,49,29,29356250,2.39358228656589,50.81,Top 80%
140,Bikes,Road Bikes,Road-250 Black- 48,691213,298,298,2319.5067114094,14,53,53,25,29356250,2.3545684479455,53.16,Top 80%
139,Bikes,Road Bikes,Road-250 Black- 44,628384,271,271,2318.76014760148,15,58,58,26,29356250,2.14054588034916,55.3,Top 80%
142,Bikes,Road Bikes,Road-250 Black- 58,622026,270,270,2303.8,16,59,59,27,29356250,2.11888780072387,57.42,Top 80%
158,Bikes,Touring Bikes,Touring-1000 Blue- 46,421968,177,177,2384,17,71,71,17,29356250,1.43740430061742,58.86,Top 80%
135,Bikes,Road Bikes,Road-350-W Yellow- 40,418446,246,246,1701,18,65,65,36,29356250,1.42540685543964,60.29,Top 80%
162,Bikes,Touring Bikes,Touring-1000 Yellow- 46,410048,172,172,2384,19,72,72,17,29356250,1.39679965935704,61.68,Top 80%
