2013,12,2013-Dec,1874128,1780688,93440,5.25,2192,854.985401459854,1776025,27,1,1
2013,11,2013-Nov,1780688,1673261,107427,6.42,2087,853.22855773838,1633757,28,3,2
2013,10,2013-Oct,1673261,1447324,225937,15.61,2131,785.199906147349,1555498,31,2,3
2013,6,2013-Jun,1642948,1284456,358492,27.91,2007,818.608868958645,1324421,29,4,4
2013,8,2013-Aug,1545910,1371595,174315,12.71,1964,787.123217922607,1520151,30,5,5
2013,9,2013-Sep,1447324,1545910,-98586,-6.38,1884,768.218683651805,1454943,32,6,6
2013,7,2013-Jul,1371595,1642948,-271353,-16.52,1875,731.517333333333,1432999,33,7,7
2013,5,2013-May,1284456,1045860,238596,22.81,1792,716.772321428571,1126682,34,8,8
2013,3,2013-Mar,1049732,771218,278514,36.11,1690,621.143195266272,892902,36,9,9
2013,4,2013-Apr,1045860,1049732,-3872,-0.37,1612,648.796526054591,955603,35,10,10
2013,1,2013-Jan,857758,624454,233304,37.36,632,1357.21202531646,673376,26,13,11
2013,2,2013-Feb,771218,857758,-86540,-10.09,1421,542.729064039409,751143,37,11,12
2011,6,2011-Jun,737793,561647,176146,31.36,230,3207.79565217391,600494,6,23,13
2011,10,2011-Oct,708164,603047,105117,17.43,221,3204.36199095023,641909,7,25,14
2011,12,2011-Dec,669395,660507,8888,1.35,222,3015.29279279279,679355,13,24,15
2011,11,2011-Nov,660507,708164,-47657,-6.73,208,3175.51442307692,657239,10,28,16
2012,12,2012-Dec,624454,537918,86536,16.09,355,1759.02535211268,565832,21,14,17
2011,8,2011-Aug,614516,596710,17806,2.98,193,3184.0207253886,649673,9,30,18
2011,9,2011-Sep,603047,614516,-11469,-1.87,185,3259.71351351351,604757,2,32,19
2011,7,2011-Jul,596710,737793,-141083,-19.12,188,3173.98936170213,632050,11,31,20
2011,5,2011-May,561647,502042,59605,11.87,174,3227.85632183908,516284,5,33,21
2012,6,2012-Jun,555142,358866,196276,54.69,318,1745.72955974843,438110,22,16,22
2012,11,2012-Nov,537918,535125,2793,0.52,324,1660.24074074074,519730,25,15,23
2012,10,2012-Oct,535125,486149,48976,10.07,313,1709.66453674121,515053,24,17,24
2012,8,2012-Aug,523887,444533,79354,17.85,294,1781.92857142857,507854,19,18,25
2012,2,2012-Feb,506992,495363,11629,2.35,260,1949.96923076923,557250,15,20,26
2011,4,2011-Apr,502042,485165,16877,3.48,157,3197.71974522293,484504,8,34,27
2012,1,2012-Jan,495363,669395,-174032,-26,252,1965.72619047619,608421,14,21,28
2012,9,2012-Sep,486149,523887,-37738,-7.2,269,1807.24535315985,484856,17,19,29
2011,3,2011-Mar,485165,466307,18858,4.04,150,3234.43333333333,473755,4,35,30
2011,1,2011-Jan,469795,43419,426376,982,144,3262.46527777778,256607,1,36,31
2011,2,2011-Feb,466307,469795,-3488,-0.74,144,3238.24305555556,326507,3,36,32
2012,7,2012-Jul,444533,555142,-110609,-19.92,246,1807.04471544715,452847,18,22,33
2012,4,2012-Apr,400324,373478,26846,7.19,219,1827.96347031963,426931,16,26,34
2012,3,2012-Mar,373478,506992,-133514,-26.33,212,1761.68867924528,458611,20,27,35
2012,5,2012-May,358866,400324,-41458,-10.36,207,1733.65217391304,377556,23,29,36
2014,1,2014-Jan,45642,1874128,-1828486,-97.56,871,52.4018369690011,1233486,38,12,37
2010,12,2010-Dec,43419,NULL,NULL,NULL,14,3101.35714285714,43419,12,38,38
